	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
as_ctrl_1	-2.0669363	0.30876917	-0.8463143	0.6480129	-5.834055	-1.7113628	1.8161575	-6.121662	-1.6283625	-0.92763764	-2.2878718	-0.6867197	-0.8522539	0.31004512	-1.6992004	0.30670387	-0.6289034	-0.7056293	-0.4508878	1.6320125	-0.16799635	-1.1922417	-3.3022943	-0.8861299	1.6015011	-2.7291403	-0.06665397	-0.73340577	0.7775274	2.402412	-1.7572168	1.0008574	0.3444504	1.9483125	-0.2874986	-4.0128136	0.46811658	-0.071630776	-0.21766481	-0.77194387	1.3671405	1.8898492	0.1652866	-0.28227627	-0.2677763	0.7378851	0.6337387	2.2273104	-0.69227433	-0.17265713	1.877436	0.49230206	-0.030320704	-0.91950285	-0.53327453	2.2936268	0.35574853	-0.39934248	-0.2684212	2.2411401	-0.40457243	-0.90474784	-2.924408	-0.15107176	-2.914014	-2.4385622	3.1910112	1.2338557	0.8440103	-0.1485615	1.5539155	0.5380223	1.6521405	0.4315694	0.09450483	-1.7117729	-2.3114207	-1.1552547	-0.86903167	0.5852909
as_ctrl_2	0.47244066	-0.9370089	-0.15271366	1.0664767	-3.2832835	1.6045923	3.0011802	-2.5760937	-0.48805702	-2.3006067	-1.3765664	-0.38135993	-0.8633005	-0.1412186	-0.38144505	1.6469772	-0.70685095	-0.93254423	-0.7825935	2.0153906	-0.62363946	-1.1761769	1.3423328	-0.7390651	-2.2647872	0.87593365	1.5273114	-0.7863499	1.0357206	3.3546333	-1.6539184	-2.4658446	-3.1217928	-0.63764143	0.674633	6.8359575	-0.33132994	2.5792851	0.10664886	-2.3112712	-0.19117767	1.6315839	0.36218417	-0.55959874	0.74440354	1.770712	0.99323714	0.8772247	1.2889299	-0.67234534	3.5934358	0.6002787	-0.10215311	-0.06902288	1.40762	-0.6481743	0.5690984	2.4679606	1.5709594	0.705523	-1.1093324	-2.7420506	-1.8219339	-0.86300254	1.2624997	-2.1779113	0.0053154826	3.3096442	-0.9837619	0.9544631	-1.1531683	-1.4193342	0.9811887	0.29693612	1.2143002	0.08209473	-1.6645281	0.5238321	-0.7762461	-0.5634904
as_3dpi_1	1.4740599	3.5091045	0.36283985	-1.9621294	-1.5193131	-0.62936324	-2.6994026	1.0516324	1.3539617	2.4135509	2.7051785	0.8254198	1.4018329	1.1890303	1.0447779	2.4264548	-0.8341744	1.1171764	-2.9504523	-2.5034795	0.16502732	4.3036	-0.27970076	1.508384	-1.3353367	-0.7606254	0.55638623	1.1682593	-1.5507556	-0.834272	2.0200346	0.093716875	2.1112201	1.965947	0.77896667	2.3244646	-0.85113275	-0.19034892	-0.74844086	1.0235025	-2.8655617	-4.032095	-0.6226063	1.5313721	1.6084044	-1.8027909	0.81588733	-0.7827003	-0.8704656	-0.31409937	-2.4741726	-0.85602844	0.41757506	-1.769767	-2.9014134	-0.9498798	-0.8164645	-0.14503235	-0.08144921	-0.5719057	2.454848	0.91139543	3.0687485	0.6290157	-0.8249959	1.5682364	-0.89975333	-1.5571004	-1.4094193	0.43813968	0.44171545	0.7971827	-6.360306	0.31099772	-7.0649414	1.6570935	4.456379	-0.017427623	1.539418	0.5919244
as_3dpi_2	3.2208743	3.2253032	0.18192464	-0.8601454	-1.6988715	-1.239026	-2.2420685	2.5089302	0.12370631	2.2439182	1.8461562	1.0818036	-0.52160853	0.5835489	2.2115324	2.024795	-0.054562747	-0.6048758	1.1215543	-1.6209244	0.61552376	2.521336	3.9167147	-1.1899571	-1.3581328	-0.39466769	-1.5875103	-0.9418707	0.48882002	-0.3669032	0.73614746	-0.5375172	1.992711	-0.589508	0.9853323	2.4907143	-1.1483955	1.3836423	-1.5307082	0.9934343	8.884934	-4.0247984	0.9451758	-0.041261494	-0.86691916	-1.9092152	-0.02038601	-0.9023441	-2.004561	-0.20222232	-1.6734039	-0.62819195	-0.56559205	-1.3192683	-3.358647	0.60861266	-0.560238	-1.6638964	-0.9535861	-0.75256515	3.2823558	-0.06176129	3.8593767	0.475761	-0.7165981	1.9596424	-3.7328732	-1.1877697	-1.0880945	0.43521774	0.68328685	-0.22448182	3.9444582	4.6814923	0.19470358	3.6281762	6.10614	2.1147764	2.055389	-0.028316066
as_6dpi_1	-0.5835221	2.997735	2.044021	5.5673027	-1.9981222	-1.7398386	-3.4284594	3.5664907	0.72189987	0.57964444	0.81821066	1.7990885	0.7346748	1.1213994	2.0383763	-3.6463137	-0.70751977	-1.630945	2.9617245	-2.7683244	0.09219444	4.1125903	2.7169166	2.4805658	-3.0111651	-0.17479508	-2.3230453	-0.38510883	-1.0501201	-2.4678633	0.8048233	0.20253369	2.4070415	0.8650494	2.2020648	1.6856465	-0.2798276	-1.075635	-0.51740307	1.2083677	2.9998975	-5.5026884	1.1010183	-3.7543159	-1.1134075	-1.4839058	0.37859902	-1.4687835	-0.43996632	0.15436554	-1.9440551	-2.990835	0.21439716	0.023581743	-2.0582504	1.4869347	-1.8461773	-0.8475205	-1.4863186	-0.21401575	3.8135433	-0.32834536	3.2440395	-0.60209167	-0.3894624	2.9548206	0.2832898	-2.3273828	-1.5974135	0.5482436	-0.48753697	0.81752133	-3.6186104	1.7555163	-0.840261	1.6956846	1.5728357	0.63120747	1.3983966	-0.012202233
as_6dpi_2	2.2705977	1.1396396	-1.5255209	-2.850872	-1.5843067	-0.1708018	-1.0941079	2.1085694	1.1611326	-0.21216857	0.8996559	1.3369892	0.25331038	0.79494864	1.7459209	0.010880366	0.29367292	-2.4233708	-0.0076805055	-1.68018	0.10818562	3.214921	0.6421984	-2.077014	-0.7048969	-0.4909115	0.23354807	2.368086	-0.14754196	1.0117366	-0.9097519	-0.35773578	2.1225057	-1.7158716	0.45453757	1.6383498	0.23929334	-1.0703449	0.47514322	0.50820225	-4.0105524	-3.830395	1.3030281	-2.2472093	1.2560586	-1.1299945	0.7410337	0.30725175	-0.98976725	0.7612368	-1.0247691	-3.0117745	0.21575907	-1.6161277	-2.807658	1.7088339	-0.73438287	-1.2303779	0.3935488	-1.15042	1.7328804	-0.0325335	1.9382212	2.0052826	0.46652353	-0.18559647	-1.7355571	-1.8230656	-0.3306278	-0.26818395	-0.00850755	1.0193698	-4.6958256	-3.293354	0.3175714	3.0775685	3.1582365	0.45547032	2.352478	4.0023813
as_9dpi_1	0.5770353	-1.0992215	-0.92327744	1.528696	6.0814486	0.3014511	1.7795944	0.05426824	1.4045275	2.5991983	2.093197	1.4324107	-0.046078607	-0.30538666	-0.5813009	0.098126456	-1.1552471	-1.3742051	-0.19537306	1.2433783	1.4339292	0.16653779	-0.10109502	-0.45404613	1.721418	0.1484803	1.3680674	-0.16132404	2.285744	0.8061688	-0.043873392	-1.383616	-0.2998077	0.038934544	-2.3536506	0.57906854	0.061980367	0.13035214	-1.6731735	-1.2329068	1.0323199	-0.62417877	-0.2701925	-0.37448162	-0.37230277	2.2334218	-2.4866939	5.245262	-2.487287	-2.6392968	0.4499631	-0.9597269	-0.13196775	-0.6912906	1.9509382	0.061835527	1.9684011	-0.2854459	-1.3847001	1.2170591	-1.609438	0.5941956	-1.5961664	-0.60833776	-3.1428804	-2.6152074	-1.3861036	0.31911173	-0.037312314	1.6799595	2.238586	-0.51756984	1.8453814	-0.6896284	0.46931815	-0.42145693	-0.41188842	0.5640863	-0.63994336	0.5263303
as_9dpi_2	-0.28058937	-0.22270517	-0.78999376	-0.3648216	1.409654	1.6633184	1.5424204	3.456583	-1.3266609	-2.1395056	-0.05715213	-0.91614115	1.8821865	0.43661827	-0.36776137	0.3510793	-0.3837629	-0.53444713	-0.64946616	1.1230763	-0.4934585	0.9198344	-2.0488675	-1.1595932	-0.17713392	-3.547246	2.595027	0.5002632	1.2325807	0.9118123	-0.07796906	-5.0389967	-1.9174614	1.2405952	-2.805161	-7.340837	-0.25702983	-0.37240455	-0.019160345	-1.2882767	-0.18810903	1.253732	0.23722541	0.62659526	0.104064286	1.5143653	0.89060867	3.2702713	-1.5424609	-1.0535398	2.5099156	1.5300716	0.04451388	-0.3490043	-1.5399947	0.7577114	1.3430244	-0.282343	-0.25300545	1.7514832	0.0822258	0.19346446	0.613552	0.69704545	0.17636675	-1.752458	1.4932044	0.07099795	0.10577673	0.06582853	0.9672103	-1.726665	1.1177887	0.7830193	0.052487314	-1.7353275	0.43680444	0.6722422	-1.5882874	-0.7742951
ad_ctrl_1	-1.6190795	1.9769615	-0.56414306	2.7577136	-1.6199658	-0.1761887	-1.054069	-4.817608	-0.12880254	1.8320568	1.0719016	1.3724818	0.81939304	-0.13364702	-0.15286952	0.78771484	-0.66528916	0.07995331	-2.5225034	-4.848243	-1.0596204	3.3230162	-3.7535734	3.3983073	-1.1728112	2.5051963	-0.82634187	1.3333039	0.9773767	0.9690249	2.549797	1.3624842	0.96980286	-1.1022294	0.4582472	1.0836066	0.2861995	1.0486397	0.14083543	-0.1282469	-1.7477329	-3.1324422	-1.6133193	3.9874578	-0.26415518	1.1686413	-0.78670084	-1.2046643	0.6835864	0.18244863	-3.8926754	0.09236549	1.2689492	0.058592528	-2.4233568	-0.52381516	-0.3374148	0.6006269	1.6480147	-2.8520892	1.8800356	-1.3389683	3.2766201	0.46010813	2.1593444	0.8097892	-0.36676386	-0.42182618	-0.5645117	-0.09937906	0.81006813	0.99901843	-2.0877578	1.2352208	-3.036105	-0.34246618	1.9392992	-1.3342273	2.5569723	-1.4325788
ad_ctrl_2	2.8411465	2.1593018	0.57613546	1.9690644	-1.6716576	0.97618204	-0.30587006	-1.8198627	-0.14587808	0.7811115	-1.6117921	1.3747193	-0.1191268	-0.058846354	0.23552606	-1.044898	0.7414677	1.542701	-0.13829279	-3.6938756	0.37409148	4.070167	0.3151847	-0.12181687	-1.2616547	2.2475038	-0.2304728	0.6259508	-2.2167783	-2.2193503	0.77961224	1.1638656	0.68987566	-1.6135634	1.0340794	1.6820391	-0.96064305	0.73814595	1.7603467	0.9319764	2.1832647	-5.2058644	-0.40700978	-1.2829092	-1.329643	-3.2210836	-0.4604088	-1.5997031	-0.48945713	0.7374786	-5.223589	-0.8463483	-1.0107551	2.2410057	-3.2568336	-0.5818995	0.11514574	0.8556889	0.4704671	-2.22217	3.2009373	2.0069642	2.488318	2.1579022	0.8539327	3.161119	-0.6502005	0.7410381	-1.2265897	0.05493354	0.854087	-0.09041798	-4.5127645	1.6717136	-1.7514389	1.6648498	4.115073	0.7145732	1.7006356	-1.1100013
